item1611;Einfacher Leinen-Spitzhut;0.0% Rüstschutz, 0.5 Absorb;0.600 kg, Stoffrüstungen, Stufe 1;1000 Gold
item1612;Einfache Leinen-Robe;0.0% Rüstschutz, 0.8 Absorb;1.000 kg, Stoffrüstungen, Stufe 1;1500 Gold
item1616;Einfache Leinen-Haube;0.8% Rüstschutz, 0.7 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 1;1000 Gold
item1617;Einfacher Leinen-Gambeson;1.2% Rüstschutz, 1.1 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 1;1500 Gold
item1613;Einfache Leinen-Handschuhe;0.0% Rüstschutz, 0.4 Absorb;0.400 kg, Stoffrüstungen, Stufe 2;1000 Gold
item1614;Einfache Leinen-Hose;0.0% Rüstschutz, 0.5 Absorb;0.600 kg, Stoffrüstungen, Stufe 2;1400 Gold
item1615;Einfache Leinen-Schuhe;0.0% Rüstschutz, 0.4 Absorb;0.400 kg, Stoffrüstungen, Stufe 2;1000 Gold
item1618;Einfache Leinen-Armwickel;0.6% Rüstschutz, 0.5 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 2;1000 Gold
item1619;Einfache Leinen-Beinlinge;0.8% Rüstschutz, 0.7 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 2;1400 Gold
item1620;Einfache Leinen-Stiefel;0.6% Rüstschutz, 0.5 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 2;1000 Gold
item1621;Verstärkter Leinen-Spitzhut;0.0% Rüstschutz, 0.8 Absorb;0.600 kg, Stoffrüstungen, Stufe 4;1500 Gold
item1622;Verstärkte Leinen-Robe;0.0% Rüstschutz, 1.2 Absorb;1.000 kg, Stoffrüstungen, Stufe 4;2300 Gold
item1626;Verstärkte Leinen-Haube;0.8% Rüstschutz, 1.1 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 4;1500 Gold
item1627;Verstärkter Leinen-Gambeson;1.2% Rüstschutz, 1.6 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 4;2300 Gold
item1623;Verstärkte Leinen-Handschuhe;0.0% Rüstschutz, 0.6 Absorb;0.400 kg, Stoffrüstungen, Stufe 5;1600 Gold
item1624;Verstärkte Leinen-Hose;0.0% Rüstschutz, 0.8 Absorb;0.600 kg, Stoffrüstungen, Stufe 5;2100 Gold
item1625;Verstärkte Leinen-Schuhe;0.0% Rüstschutz, 0.6 Absorb;0.400 kg, Stoffrüstungen, Stufe 5;1600 Gold
item1628;Verstärkte Leinen-Armwickel;0.6% Rüstschutz, 0.8 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 5;1600 Gold
item1629;Verstärkte Leinen-Beinlinge;0.8% Rüstschutz, 1.1 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 5;2100 Gold
item1630;Verstärkte Leinen-Stiefel;0.6% Rüstschutz, 0.8 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 5;1600 Gold
item1631;Einfacher Woll-Spitzhut;0.0% Rüstschutz, 1.0 Absorb;0.600 kg, Stoffrüstungen, Stufe 6;2000 Gold
item1632;Einfache Woll-Robe;0.0% Rüstschutz, 1.5 Absorb;1.000 kg, Stoffrüstungen, Stufe 6;3000 Gold
item1636;Einfache Woll-Haube;0.8% Rüstschutz, 1.3 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 6;2000 Gold
item1637;Einfacher Woll-Gambeson;1.2% Rüstschutz, 2.0 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 6;3000 Gold
item1633;Einfache Woll-Handschuhe;0.0% Rüstschutz, 0.8 Absorb;0.400 kg, Stoffrüstungen, Stufe 7;2100 Gold
item1634;Einfache Woll-Hose;0.0% Rüstschutz, 1.0 Absorb;0.600 kg, Stoffrüstungen, Stufe 7;2800 Gold
item1635;Einfache Woll-Schuhe;0.0% Rüstschutz, 0.8 Absorb;0.400 kg, Stoffrüstungen, Stufe 7;2100 Gold
item1638;Einfache Woll-Armwickel;0.6% Rüstschutz, 1.0 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 7;2100 Gold
item1639;Einfache Woll-Beinlinge;0.8% Rüstschutz, 1.3 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 7;2800 Gold
item1640;Einfache Woll-Stiefel;0.6% Rüstschutz, 1.0 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 7;2100 Gold
item1641;Verstärkter Woll-Spitzhut;0.0% Rüstschutz, 1.3 Absorb;0.600 kg, Stoffrüstungen, Stufe 9;3100 Gold
item1642;Verstärkte Woll-Robe;0.0% Rüstschutz, 2.0 Absorb;1.000 kg, Stoffrüstungen, Stufe 9;4600 Gold
item1646;Verstärkte Woll-Haube;0.8% Rüstschutz, 1.7 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 9;3100 Gold
item1647;Verstärkter Woll-Gambeson;1.2% Rüstschutz, 2.5 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 9;4600 Gold
item1643;Verstärkte Woll-Handschuhe;0.0% Rüstschutz, 1.0 Absorb;0.400 kg, Stoffrüstungen, Stufe 10;3200 Gold
item1644;Verstärkte Woll-Hose;0.0% Rüstschutz, 1.3 Absorb;0.600 kg, Stoffrüstungen, Stufe 10;4200 Gold
item1645;Verstärkte Woll-Schuhe;0.0% Rüstschutz, 1.0 Absorb;0.400 kg, Stoffrüstungen, Stufe 10;3200 Gold
item1648;Verstärkte Woll-Armwickel;0.6% Rüstschutz, 1.3 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 10;3200 Gold
item1649;Verstärkte Woll-Beinlinge;0.8% Rüstschutz, 1.7 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 10;4200 Gold
item1650;Verstärkte Woll-Stiefel;0.6% Rüstschutz, 1.3 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 10;3200 Gold
item1651;Einfacher Baumwoll-Spitzhut;0.0% Rüstschutz, 1.5 Absorb;0.600 kg, Stoffrüstungen, Stufe 11;4000 Gold
item1652;Einfache Baumwoll-Robe;0.0% Rüstschutz, 2.3 Absorb;1.000 kg, Stoffrüstungen, Stufe 11;6100 Gold
item1656;Einfache Baumwoll-Haube;0.8% Rüstschutz, 1.9 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 11;4000 Gold
item1657;Einfacher Baumwoll-Gambeson;1.2% Rüstschutz, 2.9 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 11;6100 Gold
item1653;Einfache Baumwoll-Handschuhe;0.0% Rüstschutz, 1.2 Absorb;0.400 kg, Stoffrüstungen, Stufe 12;4200 Gold
item1654;Einfache Baumwoll-Hose;0.0% Rüstschutz, 1.5 Absorb;0.600 kg, Stoffrüstungen, Stufe 12;5600 Gold
item1655;Einfache Baumwoll-Schuhe;0.0% Rüstschutz, 1.2 Absorb;0.400 kg, Stoffrüstungen, Stufe 12;4200 Gold
item1658;Einfache Baumwoll-Armwickel;0.6% Rüstschutz, 1.5 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 12;4200 Gold
item1659;Einfache Baumwoll-Beinlinge;0.8% Rüstschutz, 1.9 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 12;5600 Gold
item1660;Einfache Baumwoll-Stiefel;0.6% Rüstschutz, 1.5 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 12;4200 Gold
item1661;Verstärkter Baumwoll-Spitzhut;0.0% Rüstschutz, 1.9 Absorb;0.600 kg, Stoffrüstungen, Stufe 14;6200 Gold
item1662;Verstärkte Baumwoll-Robe;0.0% Rüstschutz, 2.8 Absorb;1.000 kg, Stoffrüstungen, Stufe 14;9200 Gold
item1666;Verstärkte Baumwoll-Haube;0.8% Rüstschutz, 2.3 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 14;6200 Gold
item1667;Verstärkter Baumwoll-Gambeson;1.2% Rüstschutz, 3.5 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 14;9200 Gold
item1663;Verstärkte Baumwoll-Handschuhe;0.0% Rüstschutz, 1.4 Absorb;0.400 kg, Stoffrüstungen, Stufe 15;6400 Gold
item1664;Verstärkte Baumwoll-Hose;0.0% Rüstschutz, 1.9 Absorb;0.600 kg, Stoffrüstungen, Stufe 15;8500 Gold
item1665;Verstärkte Baumwoll-Schuhe;0.0% Rüstschutz, 1.4 Absorb;0.400 kg, Stoffrüstungen, Stufe 15;6400 Gold
item1668;Verstärkte Baumwoll-Armwickel;0.6% Rüstschutz, 1.7 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 15;6400 Gold
item1669;Verstärkte Baumwoll-Beinlinge;0.8% Rüstschutz, 2.3 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 15;8500 Gold
item1670;Verstärkte Baumwoll-Stiefel;0.6% Rüstschutz, 1.7 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 15;6400 Gold
item1671;Einfacher Seiden-Spitzhut;0.0% Rüstschutz, 2.1 Absorb;0.600 kg, Stoffrüstungen, Stufe 16;8100 Gold
item1672;Einfache Seiden-Robe;0.0% Rüstschutz, 3.1 Absorb;1.000 kg, Stoffrüstungen, Stufe 16;12200 Gold
item1676;Einfache Seiden-Haube;0.8% Rüstschutz, 2.5 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 16;8100 Gold
item1677;Einfacher Seiden-Gambeson;1.2% Rüstschutz, 3.8 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 16;12200 Gold
item1673;Einfache Seiden-Handschuhe;0.0% Rüstschutz, 1.6 Absorb;0.400 kg, Stoffrüstungen, Stufe 17;8400 Gold
item1674;Einfache Seiden-Hose;0.0% Rüstschutz, 2.1 Absorb;0.600 kg, Stoffrüstungen, Stufe 17;11200 Gold
item1675;Einfache Seiden-Schuhe;0.0% Rüstschutz, 1.6 Absorb;0.400 kg, Stoffrüstungen, Stufe 17;8400 Gold
item1678;Einfache Seiden-Armwickel;0.6% Rüstschutz, 1.9 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 17;8400 Gold
item1679;Einfache Seiden-Beinlinge;0.8% Rüstschutz, 2.5 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 17;11200 Gold
item1680;Einfache Seiden-Stiefel;0.6% Rüstschutz, 1.9 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 17;8400 Gold
item1681;Verstärkter Seiden-Spitzhut;0.0% Rüstschutz, 2.4 Absorb;0.600 kg, Stoffrüstungen, Stufe 19;12400 Gold
item1682;Verstärkte Seiden-Robe;0.0% Rüstschutz, 3.6 Absorb;1.000 kg, Stoffrüstungen, Stufe 19;18600 Gold
item1686;Verstärkte Seiden-Haube;0.8% Rüstschutz, 2.9 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 19;12400 Gold
item1687;Verstärkter Seiden-Gambeson;1.2% Rüstschutz, 4.4 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 19;18600 Gold
item1683;Verstärkte Seiden-Handschuhe;0.0% Rüstschutz, 1.8 Absorb;0.400 kg, Stoffrüstungen, Stufe 20;12800 Gold
item1684;Verstärkte Seiden-Hose;0.0% Rüstschutz, 2.4 Absorb;0.600 kg, Stoffrüstungen, Stufe 20;17100 Gold
item1685;Verstärkte Seiden-Schuhe;0.0% Rüstschutz, 1.8 Absorb;0.400 kg, Stoffrüstungen, Stufe 20;12800 Gold
item1688;Verstärkte Seiden-Armwickel;0.6% Rüstschutz, 2.2 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 20;12800 Gold
item1689;Verstärkte Seiden-Beinlinge;0.8% Rüstschutz, 2.9 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 20;17100 Gold
item1690;Verstärkte Seiden-Stiefel;0.6% Rüstschutz, 2.2 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 20;12800 Gold
item1691;Einfacher Äther-Spitzhut;0.0% Rüstschutz, 2.6 Absorb;0.600 kg, Stoffrüstungen, Stufe 21;16400 Gold
item1692;Einfache Äther-Robe;0.0% Rüstschutz, 3.9 Absorb;1.000 kg, Stoffrüstungen, Stufe 21;24500 Gold
item1696;Einfache Äther-Haube;0.8% Rüstschutz, 3.2 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 21;16400 Gold
item1697;Einfacher Äther-Gambeson;1.2% Rüstschutz, 4.7 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 21;24500 Gold
item1693;Einfache Äther-Handschuhe;0.0% Rüstschutz, 1.9 Absorb;0.400 kg, Stoffrüstungen, Stufe 22;16900 Gold
item1694;Einfache Äther-Hose;0.0% Rüstschutz, 2.6 Absorb;0.600 kg, Stoffrüstungen, Stufe 22;22600 Gold
item1695;Einfache Äther-Schuhe;0.0% Rüstschutz, 1.9 Absorb;0.400 kg, Stoffrüstungen, Stufe 22;16900 Gold
item1698;Einfache Äther-Armwickel;0.6% Rüstschutz, 2.4 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 22;16900 Gold
item1699;Einfache Äther-Beinlinge;0.8% Rüstschutz, 3.2 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 22;22600 Gold
item1700;Einfache Äther-Stiefel;0.6% Rüstschutz, 2.4 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 22;16900 Gold
item1701;Verstärkter Äther-Spitzhut;0.0% Rüstschutz, 2.9 Absorb;0.600 kg, Stoffrüstungen, Stufe 24;24900 Gold
item1702;Verstärkte Äther-Robe;0.0% Rüstschutz, 4.4 Absorb;1.000 kg, Stoffrüstungen, Stufe 24;37300 Gold
item1706;Verstärkte Äther-Haube;0.8% Rüstschutz, 3.5 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 24;24900 Gold
item1707;Verstärkter Äther-Gambeson;1.2% Rüstschutz, 5.3 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 24;37300 Gold
item1703;Verstärkte Äther-Handschuhe;0.0% Rüstschutz, 2.2 Absorb;0.400 kg, Stoffrüstungen, Stufe 25;25800 Gold
item1704;Verstärkte Äther-Hose;0.0% Rüstschutz, 2.9 Absorb;0.600 kg, Stoffrüstungen, Stufe 25;34400 Gold
item1705;Verstärkte Äther-Schuhe;0.0% Rüstschutz, 2.2 Absorb;0.400 kg, Stoffrüstungen, Stufe 25;25800 Gold
item1708;Verstärkte Äther-Armwickel;0.6% Rüstschutz, 2.6 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 25;25800 Gold
item1709;Verstärkte Äther-Beinlinge;0.8% Rüstschutz, 3.5 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 25;34400 Gold
item1710;Verstärkte Äther-Stiefel;0.6% Rüstschutz, 2.6 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 25;25800 Golditem1711;Einfache Weichleder-Haube;1.6% Rüstschutz, 0.7 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 1;1000 Gold
item1712;Einfaches Weichleder-Wams;2.4% Rüstschutz, 1.1 Absorb;9 Behinderung;1.500 kg, Lederrüstungen, Stufe 1;1500 Gold
item1716;Einfacher Weichleder-Helm;2.4% Rüstschutz, 0.9 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 1;1000 Gold
item1717;Einfacher Weichleder-Harnisch;3.6% Rüstschutz, 1.4 Absorb;13 Behinderung;2.100 kg, Lederrüstungen, Stufe 1;1500 Gold
item1713;Einfache Weichleder-Handschuhe;1.2% Rüstschutz, 0.5 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 2;1000 Gold
item1714;Einfache Weichleder-Hose;1.6% Rüstschutz, 0.7 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 2;1400 Gold
item1715;Einfache Weichleder-Schuhe;1.2% Rüstschutz, 0.5 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 2;1000 Gold
item1718;Einfache Weichleder-Armschienen;1.8% Rüstschutz, 0.7 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 2;1000 Gold
item1719;Einfache Weichleder-Beinschienen;2.4% Rüstschutz, 0.9 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 2;1400 Gold
item1720;Einfache Weichleder-Stiefel;1.8% Rüstschutz, 0.7 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 2;1000 Gold
item1721;Verstärkte Weichleder-Haube;1.6% Rüstschutz, 1.1 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 4;1500 Gold
item1722;Verstärktes Weichleder-Wams;2.4% Rüstschutz, 1.6 Absorb;9 Behinderung;1.500 kg, Lederrüstungen, Stufe 4;2300 Gold
item1726;Verstärkter Weichleder-Helm;2.4% Rüstschutz, 1.4 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 4;1500 Gold
item1727;Verstärkter Weichleder-Harnisch;3.6% Rüstschutz, 2.1 Absorb;13 Behinderung;2.100 kg, Lederrüstungen, Stufe 4;2300 Gold
item1723;Verstärkte Weichleder-Handschuhe;1.2% Rüstschutz, 0.8 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 5;1600 Gold
item1724;Verstärkte Weichleder-Hose;1.6% Rüstschutz, 1.1 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 5;2100 Gold
item1725;Verstärkte Weichleder-Schuhe;1.2% Rüstschutz, 0.8 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 5;1600 Gold
item1728;Verstärkte Weichleder-Armschienen;1.8% Rüstschutz, 1.0 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 5;1600 Gold
item1729;Verstärkte Weichleder-Beinschienen;2.4% Rüstschutz, 1.4 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 5;2100 Gold
item1730;Verstärkte Weichleder-Stiefel;1.8% Rüstschutz, 1.0 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 5;1600 Gold
item1731;Einfache Leder-Haube;1.6% Rüstschutz, 1.3 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 6;2000 Gold
item1732;Einfaches Leder-Wams;2.4% Rüstschutz, 2.0 Absorb;9 Behinderung;1.500 kg, Lederrüstungen, Stufe 6;3000 Gold
item1736;Einfacher Leder-Helm;2.4% Rüstschutz, 1.7 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 6;2000 Gold
item1737;Einfacher Leder-Harnisch;3.6% Rüstschutz, 2.5 Absorb;13 Behinderung;2.100 kg, Lederrüstungen, Stufe 6;3000 Gold
item1733;Einfache Leder-Handschuhe;1.2% Rüstschutz, 1.0 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 7;2100 Gold
item1734;Einfache Leder-Hose;1.6% Rüstschutz, 1.3 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 7;2800 Gold
item1735;Einfache Leder-Schuhe;1.2% Rüstschutz, 1.0 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 7;2100 Gold
item1738;Einfache Leder-Armschienen;1.8% Rüstschutz, 1.3 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 7;2100 Gold
item1739;Einfache Leder-Beinschienen;2.4% Rüstschutz, 1.7 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 7;2800 Gold
item1740;Einfache Leder-Stiefel;1.8% Rüstschutz, 1.3 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 7;2100 Gold
item1741;Verstärkte Leder-Haube;1.6% Rüstschutz, 1.7 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 9;3100 Gold
item1742;Verstärktes Leder-Wams;2.4% Rüstschutz, 2.5 Absorb;9 Behinderung;1.500 kg, Lederrüstungen, Stufe 9;4600 Gold
item1746;Verstärkter Leder-Helm;2.4% Rüstschutz, 2.1 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 9;3100 Gold
item1747;Verstärkter Leder-Harnisch;3.6% Rüstschutz, 3.2 Absorb;13 Behinderung;2.100 kg, Lederrüstungen, Stufe 9;4600 Gold
item1743;Verstärkte Leder-Handschuhe;1.2% Rüstschutz, 1.3 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 10;3200 Gold
item1744;Verstärkte Leder-Hose;1.6% Rüstschutz, 1.7 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 10;4200 Gold
item1745;Verstärkte Leder-Schuhe;1.2% Rüstschutz, 1.3 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 10;3200 Gold
item1748;Verstärkte Leder-Armschienen;1.8% Rüstschutz, 1.6 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 10;3200 Gold
item1749;Verstärkte Leder-Beinschienen;2.4% Rüstschutz, 2.1 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 10;4200 Gold
item1750;Verstärkte Leder-Stiefel;1.8% Rüstschutz, 1.6 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 10;3200 Gold
item1751;Einfache Hartleder-Haube;1.6% Rüstschutz, 1.9 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 11;4000 Gold
item1752;Einfaches Hartleder-Wams;2.4% Rüstschutz, 2.9 Absorb;9 Behinderung;1.500 kg, Lederrüstungen, Stufe 11;6100 Gold
item1756;Einfacher Hartleder-Helm;2.4% Rüstschutz, 2.4 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 11;4000 Gold
item1757;Einfacher Hartleder-Harnisch;3.6% Rüstschutz, 3.6 Absorb;13 Behinderung;2.100 kg, Lederrüstungen, Stufe 11;6100 Gold
item1753;Einfache Hartleder-Handschuhe;1.2% Rüstschutz, 1.5 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 12;4200 Gold
item1754;Einfache Hartleder-Hose;1.6% Rüstschutz, 1.9 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 12;5600 Gold
item1755;Einfache Hartleder-Schuhe;1.2% Rüstschutz, 1.5 Absorb;4 Behinderung;0.600 kg, Lederrüstungen, Stufe 12;4200 Gold
item1758;Einfache Hartleder-Armschienen;1.8% Rüstschutz, 1.8 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 12;4200 Gold
item1759;Einfache Hartleder-Beinschienen;2.4% Rüstschutz, 2.4 Absorb;9 Behinderung;1.300 kg, Lederrüstungen, Stufe 12;5600 Gold
item1760;Einfache Hartleder-Stiefel;1.8% Rüstschutz, 1.8 Absorb;6 Behinderung;0.900 kg, Lederrüstungen, Stufe 12;4200 Gold
