item2011;Einfacher Kupfer-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 2;1000 Gold
item2021;Einfacher Kupfer-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;32% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 2;1000 Gold
item2031;Einfacher Kupfer-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 2;1000 Gold
item2041;Einfacher Kupfer-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 2;1000 Gold
item2051;Einfache Kupfer-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 2;1000 Gold
item2012;Verstärkter Kupfer-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 5;1500 Gold
item2022;Verstärkter Kupfer-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;35% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 5;1500 Gold
item2032;Verstärkter Kupfer-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 5;1500 Gold
item2042;Verstärkter Kupfer-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 5;1500 Gold
item2052;Verstärkte Kupfer-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 5;1500 Gold
item2013;Einfacher Eisen-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 7;2000 Gold
item2023;Einfacher Eisen-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;37% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 7;2000 Gold
item2033;Einfacher Eisen-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 7;2000 Gold
item2043;Einfacher Eisen-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 7;2000 Gold
item2053;Einfache Eisen-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 7;2000 Gold
item2014;Verstärkter Eisen-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 10;3100 Gold
item2024;Verstärkter Eisen-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;40% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 10;3100 Gold
item2034;Verstärkter Eisen-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 10;3100 Gold
item2044;Verstärkter Eisen-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 10;3100 Gold
item2054;Verstärkte Eisen-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 10;3100 Gold
item2015;Einfacher Sorandil-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 12;4000 Gold
item2025;Einfacher Sorandil-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 12;4000 Gold
item2035;Einfacher Sorandil-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 12;4000 Gold
item2045;Einfacher Sorandil-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 12;4000 Gold
item2055;Einfache Sorandil-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 12;4000 Gold
item2016;Verstärkter Sorandil-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;55% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 15;6200 Gold
item2026;Verstärkter Sorandil-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 15;6200 Gold
item2036;Verstärkter Sorandil-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;55% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 15;6200 Gold
item2046;Verstärkter Sorandil-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;55% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 15;6200 Gold
item2056;Verstärkte Sorandil-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;55% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 15;6200 Gold
item2017;Einfacher Adamant-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;57% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 17;8100 Gold
item2027;Einfacher Adamant-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 17;8100 Gold
item2037;Einfacher Adamant-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;57% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 17;8100 Gold
item2047;Einfacher Adamant-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;57% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 17;8100 Gold
item2057;Einfache Adamant-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;57% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 17;8100 Gold
item2018;Verstärkter Adamant-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;60% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 20;12400 Gold
item2028;Verstärkter Adamant-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 20;12400 Gold
item2038;Verstärkter Adamant-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;60% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 20;12400 Gold
item2048;Verstärkter Adamant-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;60% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 20;12400 Gold
item2058;Verstärkte Adamant-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;60% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 20;12400 Gold
item2019;Einfacher Mithril-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;62% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 22;18800 Gold
item2029;Einfacher Mithril-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 22;18800 Gold
item2039;Einfacher Mithril-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;62% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 22;18800 Gold
item2049;Einfacher Mithril-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;62% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 22;18800 Gold
item2059;Einfache Mithril-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;62% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 22;18800 Gold
item2020;Verstärkter Mithril-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;65% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 25;28600 Gold
item2030;Verstärkter Mithril-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;55% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 25;28600 Gold
item2040;Verstärkter Mithril-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;65% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 25;28600 Gold
item2050;Verstärkter Mithril-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;65% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 25;28600 Gold
item2060;Verstärkte Mithril-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;65% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 25;28600 Gold